,gzip,,bzip2,,xz,,7z ppmd,
,compress,decompress,compress,decompress,compress,decompress,compress,decompress
random,0.32,0.076,1.368,0.624,2.848,0.04,3.832,4.772
zero,0.064,0.064,0.092,0.052,0.508,0.052,0.132,0.172
alice.txt,0.008,0,0.012,0.004,0.052,0.004,0.02,0.02
numeric.csv,0.036,0.004,0.04,0.02,0.172,0.02,0.064,0.072
jquery.js,0.004,0,0.008,0.004,0.024,0,0.012,0.012
image.png,0.024,0.004,0.1,0.044,0.148,0.004,0.264,0.336
music.mp3,0.164,0.044,0.58,0.268,1.104,0.296,1.688,2.088
video.mp4,28.76,6.628,122.92,60.684,295.46,4.02,341.268,432.116
enwik3,0,0,0,0,0,0,0,0
enwik4,0,0,0,0,0.004,0,0,0.004
enwik5,0.004,0,0.008,0.004,0.028,0,0.012,0.012
enwik6,0.044,0.008,0.084,0.036,0.328,0.02,0.096,0.116
enwik7,0.456,0.092,0.824,0.36,5.156,0.184,1.024,1.18
enwik8,4.64,0.892,8.296,3.704,60.464,1.796,10.5,11.988
enwik9,41.464,8.78,85.788,35.452,537.176,16.376,96.168,106.332
